Job Title,Role,Level,year_of_experiences,Company,Location,Salary Range,Required Skills,Source Platform,Year Of Experiences
Technical Support Engineer,Technical Support Engineer,,,Công Ty TNHH Servers.com VN,Công Ty TNHH Servers.com VN,"$ 500-1,300 /tháng","Technical Support, System Administration, IT System Administration, Linux, Business English",https://www.vietnamworks.com/technical-support-engineer--1847987-jv?source=searchResults&searchType=2&placement=1848437&sortBy=latest,1 năm kinh nghiệm
Senior UX/UI Designer,Senior UX/UI Designer,Senior,,Capgemini Vietnam,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Thương lượng,"Adobe Creative Suite, English, Thiết Kế UI-UX, Figma, HTML/CSS",https://www.vietnamworks.com/senior-ux-ui-designer--1852221-jv?source=searchResults&searchType=2&placement=1852421&sortBy=latest,5 năm kinh nghiệm
"Senior QC Inspector/ QC Supervisor, Footwear (Tien Giang)","Senior QC Inspector/ QC Supervisor, Footwear Tien Giang",Senior,,Amer Sports Vietnam Limited,HCMC,"$ 800-1,800 /tháng","Footwear, Quality Control, Chinese, Inspection, Quality Assurance & Control, Quality Assurance & Control",https://www.vietnamworks.com/senior-qc-inspector-qc-supervisor-footwear-tien-giang-1851405-jv?source=searchResults&searchType=2&placement=1851655&sortBy=latest,3 năm kinh nghiệm
Infrastructure Engineer,Infrastructure Engineer,,,Tổng Công Ty Bưu Điện Việt Nam - Vnpost,"Số 5, Phạm Hùng, Nam Từ Liêm, Hà Nội",12tr-27tr ₫/tháng,"Python, Shell Script, Private Cloud, OSI, Cloud Computing",https://www.vietnamworks.com/infrastructure-engineer--1849485-jv?source=searchResults&searchType=2&placement=1849835&sortBy=latest,Không yêu cầu năm kinh nghiệm
Chuyên Viên Kiểm Thử Phần Mềm (Có Thể Nhận Việc Sau Tết),Chuyên Viên Kiểm Thử Phần Mềm Có Thể Nhận Việc Sau Tết,,,Công Ty Chứng Khoán Yuanta Việt Nam,"Tầng 4, Tòa Nhà Saigon Centre, 65 Lê Lợi, Quận 1, TP. HCM",12tr-30tr ₫/tháng,"Viết Test Case, Kiểm Thử Phần Mềm, Chứng khoán, Test, API Testing",https://www.vietnamworks.com/chuyen-vien-kiem-thu-phan-mem-co-the-nhan-viec-sau-tet-1852001-jv?source=searchResults&searchType=2&placement=1852201&sortBy=latest,3 năm kinh nghiệm
IT Business Analyst,IT Business Analyst,,,A.p. Moller-Maersk,Ho Chi Minh,Thương lượng,"WMS, MSSQL, Power BI, Communication skills",https://www.vietnamworks.com/it-business-analyst--1853898-jv?source=searchResults&searchType=2&placement=1853998&sortBy=latest,1 năm kinh nghiệm
IT Associate Manager,IT Associate Manager,,,Perfetti Van Melle (Viet Nam) Limited,"Lot N, Street No.26, Song Than Industrial Zone No.2, Di An District, Binh Duong Province",Thương lượng,"Analytical Skills, Communication Skills, Implementing Business Software, Project Management, SAP ERP",https://www.vietnamworks.com/it-associate-manager-1853303-jv?source=searchResults&searchType=2&placement=1853403&sortBy=latest,5 năm kinh nghiệm
Senior Business Intelligence,Senior Business Intelligence,Senior,,Navigos Search's Client,Hanoi,"$ 2,000-2,500 /tháng","Business Intelligence, Data Analysis, Machine Learning, Team Management",https://www.vietnamworks.com/senior-business-intelligence-1851978-jv?source=searchResults&searchType=2&placement=1852178&sortBy=latest,4 năm kinh nghiệm
"Nhân Viên Bảo Hành (Lĩnh Vực CCTV, Camera, It,...)","Nhân Viên Bảo Hành Lĩnh Vực CCTV, Camera, It,...",,,Công Ty Cổ Phần Nhà An Toàn,"Trụ sở: Tầng 5, Tòa 97-99 Láng Hạ, Đống Đa, Hà Nội;            Chi nhánh HCM: 299/3 Lý Thường Kiệt – Phường 15 – Quận 11 – TP.Hồ Chí Minh",12tr-18tr ₫/tháng,"CCNA, CCNP, MCSA",https://www.vietnamworks.com/nhan-vien-bao-hanh-linh-vuc-cctv-camera-it-1845272-jv?source=searchResults&searchType=2&placement=1845272&sortBy=latest,1 năm kinh nghiệm
Chuyên Viên Phân Tích Nghiệp Vụ (Senior Business Analyst) - Upto 35M,Chuyên Viên Phân Tích Nghiệp Vụ Senior Business Analyst - Upto 35M,Senior,,Công Ty Cổ Phần 1Office,"Tầng 3, Tháp G2, Tòa nhà Five Star, Số 2 Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",Tới 35tr ₫/tháng,"Phân tích nghiệp vụ, ERP, business analyst, Team Leader, Team Leader, Team Leader, Team Leader, Team Leader",https://www.vietnamworks.com/chuyen-vien-phan-tich-nghiep-vu-senior-business-analyst-upto-35m-1851631-jv?source=searchResults&searchType=2&placement=1851831&sortBy=latest,3 năm kinh nghiệm
Chuyên Viên Kiểm Thử Phần Mềm,Chuyên Viên Kiểm Thử Phần Mềm,,,Trung Tâm Dịch Vụ Dữ Liệu Và Trí Tuệ Nhân Tạo Viettel (Viettel AI),"Lô D26, Khu Đô thị mới Cầu Giấy, Yên Hòa, Cầu Giấy, Hà Nội","$ 830-1,700 /tháng","Kiểm Thử, An Toàn Thông Tin, Nghiệm Thu, Công nghệ thông tin, Hệ Thống Thông Tin",https://www.vietnamworks.com/chuyen-vien-kiem-thu-phan-mem--1847462-jv?source=searchResults&searchType=2&placement=1847962&sortBy=latest,5 năm kinh nghiệm
Business Analyst (BA),Business Analyst BA,,,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,"Lầu 3, 180-192 Nguyễn Công Trứ, P. Nguyễn Thái Bình, Quận 1, TP.HCM",Thương lượng,"Business Analysis, Fashion Trend, Figma, Microsoft Visio, MS Office",https://www.vietnamworks.com/business-analyst-ba-1842721-jv?source=searchResults&searchType=2&placement=1842771&sortBy=latest,2 năm kinh nghiệm
IT Staff Software Developer (On Board After Tet),IT Staff Software Developer On Board After Tet,,,"Proterial Vietnam Co., Ltd.","Plot CN 6.1-2, Tan Truong Industrial Zone, Cam Giang District, Hai Duong Province , Vietnam.",Thương lượng,"Công Nghệ Thông Tin, C#, Android, SQL, ASP.NET",https://www.vietnamworks.com/it-staff-software-developer-on-board-after-tet-1840390-jv?source=searchResults&searchType=2&placement=1840690&sortBy=latest,Không yêu cầu năm kinh nghiệm
"Japanese Business Operations Staff (in HCM, Hanoi, Da Nang)","Japanese Business Operations Staff in HCM, Hanoi, Da Nang",,,Hitachi Digital Services,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12",Thương lượng,"Japanese, Document, System Operations, English",https://www.vietnamworks.com/japanese-business-operations-staff-in-hcm-hanoi-da-nang-1841910-jv?source=searchResults&searchType=2&placement=1842060&sortBy=latest,2 năm kinh nghiệm
"Chuyên Viên Quản Trị Hệ Thống, Quản Trị Mạng","Chuyên Viên Quản Trị Hệ Thống, Quản Trị Mạng",,,Công Ty Cổ Phần Chứng Khoán Việt Thành,"Tầng 02, Tòa nhà Mê Linh Point, Số 02 Ngô Đức Kế, P. Bến Nghé, Quận 1, TP. Hồ Chí Minh",Thương lượng,"Database Oracle, Network Management, Server System Management, System Administration, VMware",https://www.vietnamworks.com/chuyen-vien-quan-tri-he-thong-quan-tri-mang-1854517-jv?source=searchResults&searchType=2&placement=1854567&sortBy=latest,3 năm kinh nghiệm
CRM System and Infrastructure Manager,CRM System and Infrastructure Manager,,,Abbott,"02 Ngo Duc Ke, Dist. 1, HCM",Thương lượng,"Systems Integration, CRM Development, Infrastructure, IT Infrastructure Management, SQL",https://www.vietnamworks.com/crm-system-and-infrastructure-manager--1853975-jv?source=searchResults&searchType=2&placement=1854075&sortBy=latest,5 năm kinh nghiệm
Trưởng Phòng Kỹ Thuật,Trưởng Phòng Kỹ Thuật,,,OPTIMA ROBOTICS COMPANY,,Thương lượng,"Arduino, Arduino, Arduino, C#, Python, Robot Control Programming, STM32, STM32",https://www.vietnamworks.com/truong-phong-ky-thuat-1853822-jv?source=searchResults&searchType=2&placement=1853922&sortBy=latest,Không yêu cầu năm kinh nghiệm
IT Technical Support,IT Technical Support,,,Carl Zeiss Vietnam Company Limited,"Hà Nội (Branch office): Unit 01 & 02, 9th Floor, Lancaster Luminaire, 1152-1154 Lang Street, Lang Thuong Ward, Dong Da District, Ha Noi, Vietnam  HCM (Head office): Unit 501, 5th F, 58 Nguyen Dinh Chieu, Dakao Ward, District 1, Ho Chi Minh City, Vietnamme",Thương lượng,"Customer Support, Technical Assistance, Asset Management, ITSM, System Monitoring",https://www.vietnamworks.com/it-technical-support-1854558-jv?source=searchResults&searchType=2&placement=1854608&sortBy=latest,4 năm kinh nghiệm
NV Phụ Trách An Ninh Mạng và An Toàn Dữ Liệu,NV Phụ Trách An Ninh Mạng và An Toàn Dữ Liệu,,,Công Ty Cổ Phần Đầu Tư Phát Triển Giáo Dục Quốc Tế Hoàng Gia,"Số 8 Đặng Đại Độ, Phú Mỹ Hưng, P. Tân Phong, Quận 7",$ 600-800 /tháng,"Cisco Firewall Security, CentOS, An Ninh Mạng, Hệ Thống Bảo Mật, Bảo Mật Hệ Thống",https://www.vietnamworks.com/nv-phu-trach-an-ninh-mang-va-an-toan-du-lieu-1853555-jv?source=searchResults&searchType=2&placement=1853655&sortBy=latest,2 năm kinh nghiệm
Assistant Manager cum Team Lead - IT Department (IT Security & Risk Management Team),Assistant Manager cum Team Lead - IT Department IT Security & Risk Management Team,,,"Mizuho Bank, Ltd.","4th Floor, 63 LTT Building, 63 Ly Thai To Street, Hanoi",Thương lượng,"Communication, Cybersecurity, IT Risk Management, IT Security, Leadership",https://www.vietnamworks.com/assistant-manager-cum-team-lead-it-department-it-security-risk-management-team-1841734-jv?source=searchResults&searchType=2&placement=1841934&sortBy=latest,8 năm kinh nghiệm
Mid-Level Software Developer (Python),Mid-Level Software Developer Python,Mid-Level,,Celltron,.,"Từ $ 1,000 /tháng","Python, Ai/Ml Tools, API Development, Matplotlib",https://www.vietnamworks.com/mid-level-software-developer-python--1850768-jv?source=searchResults&searchType=2&placement=1851018&sortBy=latest,2 năm kinh nghiệm
Chuyên Viên Vận Hành Open Banking & Dịch Vụ Kết Nối - Khối CNTT,Chuyên Viên Vận Hành Open Banking & Dịch Vụ Kết Nối - Khối CNTT,,,Ngân hàng Lộc Phát Việt Nam LPBank,"LPB Tower, số 210 Đường Trần Quang Khải, French Quarter, Trang Tien, Hoàn Kiếm, Hanoi, Vietnam",Thương lượng,"Hệ Thống Oracle, Lập Trình SQL Server, Linux, Quản Trị Hệ Thống, Vận Hành Hệ Thống",https://www.vietnamworks.com/chuyen-vien-van-hanh-open-banking-and-dich-vu-ket-noi-khoi-cntt-1839419-jv?source=searchResults&searchType=2&placement=1839719&sortBy=latest,2 năm kinh nghiệm
Project Manager (IT Projects),Project Manager IT Projects,,,SV Technologies JSC,"8th Floor, IC Building, 82 Duy Tan Str., Cau Giay Dist., Hanoi","$ 1,000-2,000 /tháng","Quản Lý Dự Án Công Nghệ, Quản Trị Dự Án, Project Management, PMP, Business analysis",https://www.vietnamworks.com/project-manager-it-projects-1849582-jv?source=searchResults&searchType=2&placement=1849932&sortBy=latest,2 năm kinh nghiệm
Fullstack Developer (Nodejs/reactjs/python),Fullstack Developer Nodejs/reactjs/python,,,"AZPLAYS Co., LTD","Toà nhà Won Majestic - Phum 4, Phường Sangkat 4, Quận 2 Thnou St, Thành phố Krong Preah Sihanouk, Cambodia","$ 1,700-2,100 /tháng","JavaScript, Python, NodeJS, ReactJS, Communication",https://www.vietnamworks.com/fullstack-developer-nodejsreactjspython-1849297-jv?source=searchResults&searchType=2&placement=1849647&sortBy=latest,Không yêu cầu năm kinh nghiệm
[Hồ Chí Minh] System Administrator (big Digital Transformation project) - open to onboard after Tet,Hồ Chí Minh System Administrator big Digital Transformation project - open to onboard after Tet,,,Navigos Search's Client,Hanoi,"$ 1,000-1,400 /tháng","MCSA, MCSE, Quản Trị Hệ Thống, Quản Trị Hệ Thống Mạng, VMware",https://www.vietnamworks.com/ho-chi-minh-system-administrator-big-digital-transformation-project-open-to-onboard-after-tet-1849354-jv?source=searchResults&searchType=2&placement=1849704&sortBy=latest,3 năm kinh nghiệm
Web Developer (Tiếng Nhật N1~N4),Web Developer Tiếng Nhật N1~N4,,,Công Ty TNHH Gmo-Z.com Financial System VN,"5th Floor, Ocean Park Building, 1 Đào Duy Anh, Phương Mai, Đống Đa, Hà Nội","$ 1,000-3,000 /tháng","React, Website Development, Node.js, Tiếng Nhật N4, Unit Testing",https://www.vietnamworks.com/web-developer-tieng-nhat-n1-n4--1853775-jv?source=searchResults&searchType=2&placement=1853875&sortBy=latest,Không yêu cầu năm kinh nghiệm
Kỹ Sư Network,Kỹ Sư Network,,,Công Ty Cổ Phần Netnam,"Tầng 2 - HITC Building, 239 Đường Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Việt Nam",12tr-20tr ₫/tháng,"Quản Trị Mạng, Network, Quản Trị Hạ Tầng Cisco, Chăm Sóc Khách Hàng, An Toàn Thông Tin",https://www.vietnamworks.com/ky-su-network--1851514-jv?source=searchResults&searchType=2&placement=1851714&sortBy=latest,1 năm kinh nghiệm
On Job Training (Embedded Engineer),On Job Training Embedded Engineer,,,"Toshiba Software Development (Vietnam) CO., LTD","16 Floor - VIT Tower, 519 Kim Ma, Ba Dinh, Hanoi",3.3tr-7.5tr ₫/tháng,"Embedded Systems, Linux, MATLAB, Teamwork, Tự Động Hóa",https://www.vietnamworks.com/on-job-training-embedded-engineer-1851087-jv?source=searchResults&searchType=2&placement=1851337&sortBy=latest,Không yêu cầu năm kinh nghiệm
Data and Business Intelligence Analyst,Data and Business Intelligence Analyst,,,Schneider Electric Vietnam Limited,"364 Cong Hoa St, Floor 7, E-town Building, Ward 13, Tan Binh Dist, HCMC",Thương lượng,"Data analysis, Business analysis",https://www.vietnamworks.com/data-and-business-intelligence-analyst-1849969-jv?source=searchResults&searchType=2&placement=1850269&sortBy=latest,3 năm kinh nghiệm
Senior Software Tester – Securities IT,Senior Software Tester – Securities IT,Senior,,Public Bank Securities Vietnam Company Limited (PBSV),,Thương lượng,"Communication skills, Computer Science, Finance, Software Testing, Test Planning",https://www.vietnamworks.com/senior-software-tester-securities-it-1838754-jv?source=searchResults&searchType=2&placement=1839154&sortBy=latest,3 năm kinh nghiệm
Russian speaking Network Provisioning,Russian speaking Network Provisioning,,,Công ty TNHH Servers.com VN,,Thương lượng,"Network Technology, Pc Background, Russian Language, English Speaking, Customer Focus",https://www.vietnamworks.com/russian-speaking-network-provisioning-1852010-jv?source=searchResults&searchType=2&placement=1852210&sortBy=latest,Không yêu cầu năm kinh nghiệm
Business Analyst Fresher (Dành Cho Sinh Viên Mới Tốt Nghiệp),Business Analyst Fresher Dành Cho Sinh Viên Mới Tốt Nghiệp,Fresher,,NashTech,"Etown, 364 Cong Hoa, Ward 13, Tan Binh District, HCM",Thương lượng,"Business Analysis, Data Analysis, Business Intelligence, Communication, English Language Proficiency",https://www.vietnamworks.com/business-analyst-fresher-danh-cho-sinh-vien-moi-tot-nghiep-1849164-jv?source=searchResults&searchType=2&placement=1849514&sortBy=latest,Không yêu cầu năm kinh nghiệm
Head of Digital Product,Head of Digital Product,,,Công Ty Cổ Phần Thương Mại Và Dịch Vụ Fgf,"Tòa văn phòng Symphony, Vinhomes Riverside, Q. Long Biên, Hà Nội","$ 4,000-6,000 /tháng","Product Management, Customer Experiences, Agile, Product Analyst, Digital Strategy",https://www.vietnamworks.com/head-of-digital-product-1853743-jv?source=searchResults&searchType=2&placement=1853843&sortBy=latest,5 năm kinh nghiệm
Software Engineering Manager (Java/springboot),Software Engineering Manager Java/springboot,,,Navigos Search's Client,Hanoi,"$ 3,500-4,000 /tháng","API RESTful, English Language Proficiency, Java, Software Development, Team Management",https://www.vietnamworks.com/software-engineering-manager-javaspringboot-1848495-jv?source=searchResults&searchType=2&placement=1848945&sortBy=latest,7 năm kinh nghiệm
Senior Backend Developer,Senior Backend Developer,Senior,,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,"Lầu 3, 180-192 Nguyễn Công Trứ, P. Nguyễn Thái Bình, Quận 1, TP.HCM",Thương lượng,"Data Structure, Back End Developer, OOP (Object Oriented Programming), Java, NodeJS",https://www.vietnamworks.com/senior-backend-developer-1842791-jv?source=searchResults&searchType=2&placement=1842891&sortBy=latest,Không yêu cầu năm kinh nghiệm
Engineering Manager,Engineering Manager,,,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,"Tầng 1, Pax Sky, 63-65 Ngô Thì Nhậm, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, TP Hà Nội, Việt Nam",Thương lượng,"Cloud Technologies, Project Management, Software Development, Agile, Product Development",https://www.vietnamworks.com/engineering-manager--1853229-jv?source=searchResults&searchType=2&placement=1853379&sortBy=latest,Không yêu cầu năm kinh nghiệm
Process Quality Assurance - Lương Thưởng Hấp Dẫn,Process Quality Assurance - Lương Thưởng Hấp Dẫn,,,Công Ty Cổ Phần Tư Vấn Công Nghệ Ngs (Ngsc),"Tầng 4, Toà nhà 6th Element, đường Nguyễn Văn Huyên, quận Tây Hồ, Hà Nội","Tới $ 1,500 /tháng","Công Nghệ Thông Tin, Đánh Giá Chất Lượng, QA, Agile Scrum, Tiếng Anh",https://www.vietnamworks.com/process-quality-assurance-luong-thuong-hap-dan--1847179-jv?source=searchResults&searchType=2&placement=1847679&sortBy=latest,3 năm kinh nghiệm
Technical Analyst,Technical Analyst,,,Công Ty Cổ Phần Gemadept,"CJ Building, Số 6 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, TP. HCM",Thương lượng,"IT Management, Công nghệ thông tin, Triển Khai Ứng Dụng, Phân tích kỹ thuật",https://www.vietnamworks.com/technical-analyst--1848268-jv?source=searchResults&searchType=2&placement=1848718&sortBy=latest,1 năm kinh nghiệm
Phó Trưởng Khoa Công Nghệ Thông Tin / Vice Dean of IT Program,Phó Trưởng Khoa Công Nghệ Thông Tin / Vice Dean of IT Program,,,Keiser University (Vietnam Center - Kuv),"21 Lê Quý Đôn, P. 6, Q.3, TPHCM","Từ $ 1,500 /tháng","Tiếng Anh Thành Thạo, Công nghệ thông tin, Quản Lý Giáo Dục",https://www.vietnamworks.com/pho-truong-khoa-cong-nghe-thong-tin-vice-dean-of-it-program-1854679-jv?source=searchResults&searchType=2&placement=1854729&sortBy=latest,3 năm kinh nghiệm
Service Desk Agent Asia,Service Desk Agent Asia,,,,,Thương lượng,"Citrix System, IT Helpdesk, Chinese fluency, English Language Proficiency, German",https://www.vietnamworks.com/service-desk-agent-asia--1853204-jv?source=searchResults&searchType=2&placement=1853354&sortBy=latest,2 năm kinh nghiệm
Test Consultant (Automation),Test Consultant Automation,,,Endava Việt Nam,"No. 9 – 11 Dong Da street, ward 2, Tan Binh district, Ho Chi Minh city",Thương lượng,"Java, SDLC, REST API, Automation Testing, API Testing",https://www.vietnamworks.com/test-consultant-automation-1853760-jv?source=searchResults&searchType=2&placement=1853860&sortBy=latest,10 năm kinh nghiệm
Project Manager,Project Manager,,,Techcombank,"Head Office: 6 Quang Trung Street, Hoan Kiem District, Hanoi","$ 1,000-2,500 /tháng","Program Management, Waterfall, Product Development, Banking, Agile",https://www.vietnamworks.com/project-manager--1848116-jv?source=searchResults&searchType=2&placement=1848566&sortBy=latest,8 năm kinh nghiệm
Information & Communication Technology (ICT) Executive,Information & Communication Technology ICT Executive,,,FUJIFILM Business Innovation Vietnam,"19th Floor, The Hallmark Building, 15 Tran Bach Dang, Thu Thiem Ward, Thu Duc City, Ho Chi Minh.",Thương lượng,"IT Security, MS SQL, Computer Network, Windows System Administration, Team Work",https://www.vietnamworks.com/information-and-communication-technology-ict-executive-1847038-jv?source=searchResults&searchType=2&placement=1847538&sortBy=latest,3 năm kinh nghiệm
IT Security Engineer Cybersecurity & Networks,IT Security Engineer Cybersecurity & Networks,,,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,"Lầu 3, 180-192 Nguyễn Công Trứ, P. Nguyễn Thái Bình, Quận 1, TP.HCM","$ 600-2,000 /tháng","Network Security, System Security Management, Application Security Assessment, CEH, CISSP",https://www.vietnamworks.com/it-security-engineer-cybersecurity-and-networks-1844593-jv?source=searchResults&searchType=2&placement=1844593&sortBy=latest,Không yêu cầu năm kinh nghiệm
Fortran Developer (ASAP),Fortran Developer ASAP,,,Hitachi Digital Services,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12","$ 1,500-3,500 /tháng","Công nghệ thông tin, Fortran, IT Phần Mềm, Software Programming, Coding Experience",https://www.vietnamworks.com/fortran-developer-asap--1847928-jv?source=searchResults&searchType=2&placement=1848428&sortBy=latest,Không yêu cầu năm kinh nghiệm
C# Software Engineer,C# Software Engineer,,,Navigos Search's Client,Hanoi / HCMC,"$ 1,500-2,000 /tháng","C#, WPF, Revit, OOP, English",https://www.vietnamworks.com/c-sharp-software-engineer-4-1855792-jv?source=searchResults&searchType=2&placement=1855792&sortBy=latest,3 năm kinh nghiệm
"IT Helpdesk - IT Department, Head Office","IT Helpdesk - IT Department, Head Office",,,Public Bank Vietnam Ltd,"tầng 1,2,10,11 tòa nhà Tungshing Square, 2 Ngô Quyền, Hà Nội","$ 550-1,000 /tháng","Helpdesk, IT Helpdesk, Microsoft Windows, Digital Banking, Technical Support",https://www.vietnamworks.com/it-helpdesk-it-department-head-office--1847927-jv?source=searchResults&searchType=2&placement=1848427&sortBy=latest,Không yêu cầu năm kinh nghiệm
IT Helpdesk,IT Helpdesk,,,Chi Nhánh Olam Global Agri Việt Nam Tại Đồng Tháp,"Lô III-6, Khu C mở rộng, Khu công nghiệp Sa Đéc, Xã Tân Khánh Đông, Thành phố Sa Đéc, Tỉnh Đồng Tháp",$ 330-400 /tháng,"Công Nghệ Thông Tin, IT System Administration, IT Operations, IT Helpdesk, IT",https://www.vietnamworks.com/it-helpdesk--1851875-jv?source=searchResults&searchType=2&placement=1852075&sortBy=latest,1 năm kinh nghiệm
Data Analyst & Reporting Executive,Data Analyst & Reporting Executive,,,Shinhan Vietnam Finance Company Limited,17F & 23/F. Saigon Trade Center. 37 Ton Duc Thang. D.1. HCMC. Vietnam,Thương lượng,"Data analysis, Reporting, Excel VBA, SQL, Ms Power Bi, Power Query",https://www.vietnamworks.com/data-analyst-reporting-executive-1841137-jv?source=searchResults&searchType=2&placement=1841387&sortBy=latest,1 năm kinh nghiệm
Senior Software Engineer (Generative AI),Senior Software Engineer Generative AI,Senior,,Navigos Group,"HCM Office: 20th Floor, E Town Central - 11 Doan Van Bo, Ward 13, District 4; Hanoi office: 8th Floor, V Building, 125-127 Ba Trieu St, Hai Ba Trung District","$ 1,200-2,500 /tháng","Collaborative Design, Machine Learning, Python Programming, Generative Ai Proficiency, Technical Expertise In Data-Driven Systems",https://www.vietnamworks.com/senior-software-engineer-generative-ai-1848588-jv?source=searchResults&searchType=2&placement=1848988&sortBy=latest,5 năm kinh nghiệm
Process RD & Optimization Specialist (AI),Process RD & Optimization Specialist AI,,,"Vietnam Intersnack Cashew Co., Ltd","76 Le Lai, Ben Thanh Ward, Dist 1, Ho Chi Minh City",Thương lượng,"Data Analysis, Data Modeling, Microsoft Power Platform, MS SQL, Python (Tensorflow, Pytorch, Or Scikit-Learn)",https://www.vietnamworks.com/process-rd-optimization-specialist-ai-1854302-jv?source=searchResults&searchType=2&placement=1854352&sortBy=latest,2 năm kinh nghiệm
Moderation Quality Analyst,Moderation Quality Analyst,,,Gear Inc.,"Skylight Building, Building CT2, Ground Floor, First Floor, 125D Minh Khai, Hai Ba Trung, Hanoi",Thương lượng,"Analytical Skills, English Communication, Content Moderation, Content Moderation, Content Moderation, Content Moderation, QA, QA/ QC",https://www.vietnamworks.com/moderation-quality-analyst-1849911-jv?source=searchResults&searchType=2&placement=1850211&sortBy=latest,1 năm kinh nghiệm
Quản Trị Viên Quản Lý Microsoft 365 (Microsoft 365 Administrator),Quản Trị Viên Quản Lý Microsoft 365 Microsoft 365 Administrator,,,Hệ Thống Giáo Dục Archimedes School,"19 Nguyễn Vĩnh Bảo, Cầu Giấy, Hà Nội",Thương lượng,"IT, AI, CompTIA, Hệ Thống Mạng, CCNA, AI, IT",https://www.vietnamworks.com/quan-tri-vien-quan-ly-microsoft-365-microsoft-365-administrator-1854755-jv?source=searchResults&searchType=2&placement=1854805&sortBy=latest,1 năm kinh nghiệm
Senior Software Engineer/ Digital Transformation Specialist (Kỹ Sư Phần Mềm Cao Cấp/chuyên Gia Chuyển Đổi Số),Senior Software Engineer/ Digital Transformation Specialist Kỹ Sư Phần Mềm Cao Cấp/chuyên Gia Chuyển Đổi Số,Senior,,Công Ty TNHH Một Thành Viên Đầu Tư Và Thương Mại The Garden,"Tầng 2 - Trung tâm thương mại The Garden, đường Mễ Trì, Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",Thương lượng,"Software Development, Project Management, Database Development, Ecommerce Background, Effective Communication",https://www.vietnamworks.com/senior-software-engineer-digital-transformation-specialist-ky-su-phan-mem-cao-cap-chuyen-gia-chuyen-doi-so-1854411-jv?source=searchResults&searchType=2&placement=1854461&sortBy=latest,6 năm kinh nghiệm
WordPress Developer,WordPress Developer,,,AMERICAN DREAM HOME GROUP LLC,"854 SU VAN HANH ST, WARD 10, HO CHI MINH CITY","$ 1,000-2,000 /tháng","HTML5, Wordpress Development, CSS, NextJs, Performance Enhancement",https://www.vietnamworks.com/wordpress-developer-1846510-jv?source=searchResults&searchType=2&placement=1847010&sortBy=latest,3 năm kinh nghiệm
Automotive Test Engineer (Manual),Automotive Test Engineer Manual,,,LG Electronics Development Vietnam Company Limited,"Tầng 17-21 Lotte Mall Tây Hồ, Võ Chí Công, Tây Hồ Hà Nội","$ 600-1,500 /tháng","Software Programming, Software Testing, Automation Test Script, Automotive Engineering, Automotive",https://www.vietnamworks.com/automotive-test-engineer-manual--1855796-jv?source=searchResults&searchType=2&placement=1855796&sortBy=latest,1 năm kinh nghiệm
Senior Global Service Desk,Senior Global Service Desk,Senior,,SPS Vietnam S Ltd.,"Floor 8, Saigon ICT Tower, Quang Trung Software City","$ 700-1,200 /tháng","Microsoft Office 365, Azure Administration, ITIL, Network Systems, Service Desk",https://www.vietnamworks.com/senior-global-service-desk-1844024-jv?source=searchResults&searchType=2&placement=1844074&sortBy=latest,2 năm kinh nghiệm
Nhân Viên Công Nghệ Thông Tin,Nhân Viên Công Nghệ Thông Tin,,,Công Ty Cổ Phần Dược Phẩm Vĩnh Phúc,"Số 777 - Đường Mê Linh, Phường Khai Quang, Thành phố Vĩnh Yên, Tỉnh Vĩnh Phúc",Thương lượng,"Giải Quyết Vấn Đề, Giao Tiếp, Hệ Thống SAP, Sử Dụng Excel",https://www.vietnamworks.com/nhan-vien-cong-nghe-thong-tin-1851286-jv?source=searchResults&searchType=2&placement=1851536&sortBy=latest,2 năm kinh nghiệm
CVCC Phân Tích Kinh Doanh (Quản Trị Dữ Liệu Thu Hồi Nợ) – Rcc,CVCC Phân Tích Kinh Doanh Quản Trị Dữ Liệu Thu Hồi Nợ – Rcc,,,VPBank - Https://tuyendung.vpbank.com.vn/,"Khối Quản Trị Nguồn Nhân Lực - 89 Láng Hạ, Quận Đống Đa, Hà Nội",Thương lượng,"Databases, SQL, Phân Tích Kinh Doanh, Quản Lý Cở Sở Dữ Liệu, Quản Lý Thu Hồi Nợ",https://www.vietnamworks.com/cvcc-phan-tich-kinh-doanh-quan-tri-du-lieu-thu-hoi-no-rcc-1843109-jv?source=searchResults&searchType=2&placement=1843209&sortBy=latest,3 năm kinh nghiệm
